2021-11-18/14:27:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-18/14:27:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-18/14:27:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-18/14:27:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-18/14:27:05		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-18/14:27:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-18/14:27:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-18/14:27:07		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-18/14:27:07		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-24/10:51:41		 AQI_08.csv: File Transformed successfully!!
2021-11-24/10:52:06		 AQI_09.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_10.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_11.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_12.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_14.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_15.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_26.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_27.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_35.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_36.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_38.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_39.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_40.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_41.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_42.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_47.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_50.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_51.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_52.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_53.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_54.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_55.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_66.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_67.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_80.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_86.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_94.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_95.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_97.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_98.csv: File Transformed successfully!!
2021-11-24/10:52:12		 AQI_99.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_08.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_09.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_10.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_11.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_12.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_14.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_15.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_26.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_27.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_35.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_36.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_38.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_39.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_40.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_41.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_42.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_47.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_50.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_51.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_52.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_53.csv: File Transformed successfully!!
2021-11-24/11:35:49		 AQI_54.csv: File Transformed successfully!!
